,,,date,,tweet_processed,,,target
835,,,12/21/2016,,My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,,,1
838,,,12/21/2016,,Being extremely  over my other half agreeing to divorce instead of coming to peace then someone asks if I'm okay....  pic.twitter.com/fgpQKQwhYw,,,1
861,,,12/21/2016,,ok im running out of steam because god im feeling so  this morning,,,1
866,,,12/21/2016,,Thank god the last presentation is over! ‚úå tomorrow is our last day at uni this year. We really need a few days off.  ,,,1
881,,,12/21/2016,,Have u ever felt so  u feel like u have to throw up 24/7 ????,,,1
889,,,12/21/2016,,I feel so   and a tad  but I'm afraid to call a friend :(,,,1
905,,,12/20/2016,,Everyday I can't wait to sleep ,,,1
920,,,12/20/2016,,"Why am i so  today,  everywhere!",,,1
922,,,12/20/2016,,"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I don't seem to think is very bad. Whatever tho ",,,1
925,,,12/20/2016,,Why must my mother marry this man  ,,,1
930,,,12/20/2016,,It's lke everyone around me is feeling all festive and there me like all  and with me  lkke sky high not feeling festive,,,1
938,,,12/20/2016,,"I'm , , Crying, and just feeling fucking Lousy today. I need a friend today to Perk me up. Hopefully. or least lend a ear.",,,1
963,,,12/20/2016,,Goodnight everyone hope you had a good day!   and everything between,,,1
965,,,12/20/2016,,Today is probably one of the worst days of my life and idk what to do  ,,,1
966,,,12/20/2016,,I don't have any gifs to suit my mood for once  ,,,1
972,,,12/20/2016,,"Ppl think it's just so easy to change your whole life, but it's not. Ugh, money ",,,1
980,,,12/19/2016,,"Using one of my favorite movies of all time to express my feelings is sometimes...more just validation than healing, I suppose.   pic.twitter.com/HzUFRLMgKC",,,1
985,,,12/19/2016,,My kids really spending Christmas without me lmao I'm liable to hop on a flight ,,,1
992,,,12/19/2016,,"Why the fuck am I hanging on this long, why don't I just kill myself? Oh yeah because I still have false hope.  ",,,1
1082,,,12/31/2016,,"I would do one of the friends of 2016 lists, only problem is I need friends to make that  ",,,1
1102,,,12/31/2016,,Youve lost weight howd you do it?  Depression fueled apathy toward food and life in general.  I havent tried that yet! ???í ,,,1
1109,,,12/31/2016,,Fighting with exboyfriend-  Me: I need space.  Him: Maybe if you didn't take so many meds... Me: hahahahahaha   ,,,1
1113,,,12/31/2016,,"Current mood: Jealous of bears... or Snow White... or Rumplestiltsken. I just want to sleep for a few months, ok?  ",,,1
1132,,,12/31/2016,,"Makeup on, comfy yet nice looking jeans and top on. Ok, we can do this.   ",,,1
1137,,,12/31/2016,,My 10 days off work is almost over and I‚Äôve spent probably about 70% of it in bed.  Thank you ,,,1
1138,,,12/31/2016,,*waves white flag* I completely got up on the bottom side of the bed. I'm trying to do everything to feel better.  ,,,1
1179,,,12/31/2016,,As a child I was scared of monsters beneath the bed. Now that I'm older I realize the monster Is me.   ,,,1
1223,,,12/31/2016,,"I'm okay.  , Thank you for staying when everyone else left.",,,1
1261,,,12/31/2016,,"‚ÄúI couldn‚Äôt be with people and I didn‚Äôt want to be alone."" ",,,1
1263,,,12/31/2016,,"On this day of resolutions and celebration, thinking kind thoughts for everyone fighting ",,,1
1281,,,12/31/2016,,Determined to cut the string but have no scissors or knife and I'm  too weak to break it.    pic.twitter.com/bPkMtyrl3t,,,1
1333,,,12/31/2016,,Yes I have  but I refuse to give up I'm going to keep fighting,,,1
1347,,,12/31/2016,,"Live a normal life and have friends and go out and have fun, believe me. But my    etc all stop that. Not by choice???¢",,,1
1366,,,12/31/2016,,A few hours till 2017... If you told me i would still be here 4 years ago i would have never believed you. ,,,1
1396,,,12/31/2016,,Starting to feel really anxious and sad and empty. ,,,1
1422,,,12/31/2016,,Fuck fuck fuck fuck    pic.twitter.com/1euSw97Anz,,,1
1431,,,12/31/2016,,An hour and 35 minutes till 2017 come. I'm still depressed and hopeless. Feel really shitty.  ,,,1
1436,,,12/31/2016,,I know  can't just go and my  will always rear it's ugly head. But I need to get better.,,,1
1477,,,12/31/2016,,30 mins apart. In the second pic I have managed to get my mask on before I left to celebrate new years.   pic.twitter.com/vwwWtD7vMk,,,1
1482,,,12/31/2016,,"Only difference being that now I hurt more than so, because  led me to vertebral, sacral, radial fractures. GG N1 2016.",,,1
1504,,,12/31/2016,,Any suggestions for helping recurring ?  pic.twitter.com/wmHXU2rJCs,,,1
1536,,,12/31/2016,,"Yes brain. This gloomy, sad, turbulent, low energy feeling is a sign of my certain death. Now is the time to get worried. ",,,1
1550,,,12/31/2016,,"‚ÄúI didn‚Äôt want to wake up. I was having a much better time asleep. And that‚Äôs really sad."" ",,,1
1559,,,12/31/2016,,Forgot to take my SSRI yesterday. Didn't notice it that I didn't take the meds. Let's see what side-effects the day brings ,,,1
1581,,,12/31/2016,,Trying my best to function as a normal human being. Feeling like a zombie.  ,,,1
1607,,,12/31/2016,,I need to get to a place where I can separate my disconnects from reality. So far the drugs aren't helping much.  ,,,1
1629,,,12/31/2016,,I'm feeling a little down.. Time for bed.   ,,,1
1647,,,12/31/2016,,Sadness overcomes. Darkness beats light. Numbness is relief.  ,,,1
1698,,,12/31/2016,,This loneliness is a black hole in which I cannot seem to escape... ,,,1
1703,,,12/31/2016,,When the thing you cut with goes dull so you only get 3 good cuts in and the rest are just fails. Just fabulous! :/  ,,,1
1766,,,12/31/2016,,38. I've realised you shouldn't be ashamed to admit you suffer from  and it's best out in the open ,,,1
1771,,,12/31/2016,,Those days when you wish a hole would open beneath you and swallow you whole so your brain will shut the hell up ,,,1
1777,,,12/31/2016,,And the big black dog sat beside me and reminded me about ALL the pain and how chronic pain works4 whole year ahead    pic.twitter.com/6rUeGHan9B,,,1
1783,,,12/31/2016,,Always forget about  especially lately after suffering with  and trying to get better. Also I prefer ,,,1
1796,,,12/31/2016,,Wanting to be skin   ???≠ pic.twitter.com/gzeDkX0Z71,,,1
1838,,,12/31/2016,,Always that shit! I'm going to be single like 4 ever   pic.twitter.com/PWlkFOYPrK,,,1
1842,,,12/31/2016,,I'm screaming in the inside and I don't know how to make it stop   pic.twitter.com/q1rzFILkWE,,,1
1880,,,12/31/2016,,I just want someone to look at me and be proud...I want to feel loved again...,,,1
1890,,,12/31/2016,,Have realized much of this  is grief over things not being the way want them to be. Social media tears at wounds so hard to heal.,,,1
1933,,,12/30/2016,,The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,,,1
1941,,,12/30/2016,,"Hate having , feels like I'm on an out of control roller coaster! ???≠ Keep being told 'snap out of it' - If only it was that easy!",,,1
